shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
72,3,215.884,216.419,143.884,144.419,Rear
72,3,217.956,218.758,145.956,146.758,Rear
72,3,224.272,224.639,152.272,152.639,Rear
72,3,225.441,225.742,153.441,153.742,Rear
72,3,226.577,227.312,154.577,155.312,Rear
72,3,227.647,227.78,155.647,155.78,Rear
72,3,228.047,228.281,156.047,156.281,Rear
72,3,228.582,229.05,156.582,157.05,Rear
72,3,229.651,230.42,157.651,158.42,Rear
72,3,232.458,233.06,160.458,161.06,Rear
72,3,233.528,234.029,161.528,162.029,Rear
72,3,234.229,234.463,162.229,162.463,Rear
72,3,234.497,234.731,162.497,162.731,Jump
72,3,234.764,235.599,162.764,163.599,Rear
72,3,236.268,236.602,164.268,164.602,Jump
72,3,237.471,237.738,165.471,165.738,Rear
72,3,238.874,240.445,166.874,168.445,Rear
72,4,240.478,240.645,168.478,168.645,Jump
72,4,240.679,240.879,168.679,168.879,Rear
72,4,241.146,241.514,169.146,169.514,Rear
72,4,241.547,241.882,169.547,169.882,Jump
72,4,242.082,242.416,170.082,170.416,Jump
72,4,245.357,245.557,173.357,173.557,Rear
72,4,245.891,246.259,173.891,174.259,Rear
72,4,246.827,247.428,174.827,175.428,Rear
72,4,247.863,248.197,175.863,176.197,Jump
72,4,248.631,248.865,176.631,176.865,Rear
72,4,248.899,249.233,176.899,177.233,Jump
72,4,249.868,250.202,177.868,178.202,Jump
72,4,251.338,252.207,179.338,180.207,Rear
72,4,253.209,253.677,181.209,181.677,Rear
72,4,255.014,255.315,183.014,183.315,Rear
72,4,255.582,259.759,183.582,187.759,Rear
72,4,262.031,263.869,190.031,191.869,Rear
72,4,265.005,265.373,193.005,193.373,Jump
72,4,266.308,266.876,194.308,194.876,Rear
72,4,266.91,267.244,194.91,195.244,Jump
72,4,267.378,267.745,195.378,195.745,Jump
72,4,268.213,268.581,196.213,196.581,Jump
72,4,270.285,270.652,198.285,198.652,Jump
72,4,271.053,271.354,199.053,199.354,Rear
72,4,271.387,271.822,199.387,199.822,Jump
72,4,272.423,272.891,200.423,200.891,Rear
72,4,272.925,273.292,200.925,201.292,Jump
72,4,273.459,273.827,201.459,201.827,Jump
72,5,303.5,305.672,231.5,233.672,Rear
72,5,307.51,308.479,235.51,236.479,Rear
72,5,310.718,311.419,238.718,239.419,Rear
72,5,311.753,311.887,239.753,239.887,Rear
72,5,311.92,312.255,239.92,240.255,Jump
72,5,313.291,314.092,241.291,242.092,Rear
72,5,314.627,315.229,242.627,243.229,Rear
72,5,315.83,320.609,243.83,248.609,Rear
72,5,340.524,341.994,268.524,269.994,Rear
72,5,342.83,343.197,270.83,271.197,Jump
72,5,343.331,343.699,271.331,271.699,Jump
72,5,344.434,344.801,272.434,272.801,Jump
72,5,345.069,345.47,273.069,273.47,Jump
72,5,345.77,346.238,273.77,274.238,Jump
72,5,347.107,347.876,275.107,275.876,Rear
72,5,348.544,349.246,276.544,277.246,Rear
72,6,364.984,365.285,292.984,293.285,Rear
72,6,366.288,366.722,294.288,294.722,Jump
72,6,367.123,367.557,295.123,295.557,Jump
72,6,367.691,368.092,295.691,296.092,Jump
72,6,370.297,371.634,298.297,299.634,Rear
72,6,372.469,372.937,300.469,300.937,Rear
72,6,374.474,374.809,302.474,302.809,Rear
72,6,375.677,376.212,303.677,304.212,Rear
72,6,376.245,376.646,304.245,304.646,Jump
72,6,379.353,379.754,307.353,307.754,Jump
72,6,380.322,380.69,308.322,308.69,Jump
72,6,381.492,381.692,309.492,309.692,Rear
72,6,381.726,382.16,309.726,310.16,Jump
72,6,382.828,383.062,310.828,311.062,Rear
72,6,383.096,383.43,311.096,311.43,Jump
72,6,383.63,384.299,311.63,312.299,Rear
72,6,384.9,387.139,312.9,315.139,Rear
72,7,474.855,476.125,402.855,404.125,Rear
72,7,477.094,477.528,405.094,405.528,Jump
72,7,478.965,479.399,406.965,407.399,Jump
72,8,480.636,481.204,408.636,409.204,Rear
72,8,481.237,481.605,409.237,409.605,Jump
72,8,485.247,486.617,413.247,414.617,Rear
72,8,487.185,487.586,415.185,415.586,Jump
72,9,548.904,549.271,476.904,477.271,Jump
72,9,549.873,550.24,477.873,478.24,Jump
72,9,551.009,551.443,479.009,479.443,Jump
72,9,555.019,555.654,483.019,483.654,Rear
72,9,555.687,556.088,483.687,484.088,Jump
72,9,556.489,556.957,484.489,484.957,Jump
72,9,557.458,557.892,485.458,485.892,Jump
72,9,558.293,558.694,486.293,486.694,Jump
72,9,559.229,559.597,487.229,487.597,Rear
72,9,559.63,559.998,487.63,487.998,Jump
72,9,561.635,562.27,489.635,490.27,Rear
72,9,577.674,578.142,505.674,506.142,Jump
72,9,578.543,578.944,506.543,506.944,Jump
72,9,579.646,580.047,507.646,508.047,Jump
72,9,580.983,581.384,508.983,509.384,Jump
72,9,581.484,582.052,509.484,510.052,Rear
72,9,582.085,582.486,510.085,510.486,Jump
72,9,584.257,584.926,512.257,512.926,Rear
72,9,584.959,585.293,512.959,513.293,Jump
72,9,591.575,591.976,519.575,519.976,Rear
72,9,592.01,592.511,520.01,520.511,Jump
72,9,593.079,593.547,521.079,521.547,Jump
72,9,594.984,595.786,522.984,523.786,Rear
72,9,596.688,597.323,524.688,525.323,Rear
72,9,597.356,597.724,525.356,525.724,Jump
72,9,598.292,598.693,526.292,526.693,Rear
72,9,598.726,599.127,526.726,527.127,Jump
72,10,601.166,603.538,529.166,531.538,Rear
72,10,605.075,605.51,533.075,533.51,Jump
72,10,606.412,607.08,534.412,535.08,Rear
72,10,607.114,607.514,535.114,535.514,Jump
72,10,608.684,609.62,536.684,537.62,Rear
72,10,616.637,617.045,544.637,545.045,Rear
72,10,618.675,619.11,546.675,547.11,Jump
72,10,639.56,642.4,567.56,570.4,Rear
72,10,643.002,644.038,571.002,572.038,Rear
72,10,647.346,647.78,575.346,575.78,Jump
72,10,647.814,648.315,575.814,576.315,Rear
72,10,648.348,648.649,576.348,576.649,Jump
72,10,649.25,649.618,577.25,577.618,Jump
72,10,651.623,652.091,579.623,580.091,Rear
72,10,652.124,652.525,580.124,580.525,Jump
72,10,652.592,652.926,580.592,580.926,Rear
72,10,652.96,653.327,580.96,581.327,Jump
72,10,655.031,655.499,583.031,583.499,Jump
72,10,656.702,657.103,584.702,585.103,Jump
72,10,657.137,657.404,585.137,585.404,Rear
72,10,657.437,657.738,585.437,585.738,Jump
72,11,662.349,662.717,590.349,590.717,Jump
72,11,663.786,664.054,591.786,592.054,Rear
72,11,664.087,664.488,592.087,592.488,Jump
72,11,665.257,665.491,593.257,593.491,Rear
72,11,665.524,665.925,593.524,593.925,Jump
72,11,666.994,667.495,594.994,595.495,Jump
72,11,668.331,668.832,596.331,596.832,Jump
72,11,668.865,669.099,596.865,597.099,Rear
72,11,669.133,669.601,597.133,597.601,Jump
72,11,670.737,671.171,598.737,599.171,Jump
