,sub_file_name,total_frames,num_entrances,first_frame_with_nose,first_frame_with_head,first_frame_with_body,first_frame_in_center,frames_with_nose,frames_with_head,frames_with_body,frames_within_50mm,fraction_frames_within_50mm,fraction_LIGHT_frames_within_50mm,fraction_LIGHT_frames_in_center,num_jumps,sum_dist,sum_dist_without_jumps,num_frames_jumping,num_rears,num_frames_rearing
0,/home/dennislab2/Desktop/videos/VID_20230419_084500DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230419_091000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230419_094000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,3,10530,10617,,,370,153,0,370,0.0206047780809712,1,0,1,667.058231913935,667.058231913935,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230419_101000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,28,286,302,363,350,9758,9077,8670,7623,0.424514117057415,0.781205164992826,0.218794835007174,99,42296.3493084213,41732.3091417254,1063,89,1739
0,/home/dennislab2/Desktop/videos/VID_20230419_103000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,32,949,990,1494,9071,8361,7381,6506,7221,0.402127304115387,0.863652673125224,0.136347326874776,45,18500.9625039121,17901.3505920406,552,64,1047
0,/home/dennislab2/Desktop/videos/VID_20230419_110500DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,16,3932,4008,12195,14808,3629,3008,2811,3400,0.189341203987303,0.93689721686415,0.0631027831358501,11,7050.42556404324,6496.3857593803,70,35,992
0,/home/dennislab2/Desktop/videos/VID_20230419_113000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17831,8,7667,7674,8162,11499,4710,4283,3997,4563,0.255902641467108,0.968789808917197,0.0312101910828025,17,9133.54915878948,8443.4224215677,157,45,946
0,/home/dennislab2/Desktop/videos/VID_20230420_085000DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,21,4334,6581,6626,6585,4959,3625,3534,4570,0.254496853594698,0.921556765476911,0.0784432345230893,21,13873.2637834407,13823.5804639861,206,70,1393
0,/home/dennislab2/Desktop/videos/VID_20230420_092500DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,27,970,2842,2857,2852,6565,6232,5817,5627,0.313359692598986,0.857121096725057,0.142878903274943,80,36810.4967286746,36558.5317620021,852,104,1880
0,/home/dennislab2/Desktop/videos/VID_20230420_095500DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,28,33,108,306,290,7994,7479,7102,6921,0.385420727292978,0.865774330748061,0.134225669251939,69,37596.8139214931,37455.4275377109,724,111,2326
